text,label
I love this service!,1
Terrible support and rude staff,0
Great value for money,1
I would not recommend this,0
The product works as expected,1
Worst purchase I ever made,0
Fantastic experience I am very happy,1
Not worth the money,0
Amazing quality will buy again,1
Really disappointed with the result,0
This was terrible,0
I hated every part of it,0
Awful service and rude staff,0
Extremely disappointing,0
Fantastic experience,1
Best purchase I made this year,1
Amazing support and great product,1
Extremely satisfied,1